Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
130    130    1527261095145955644    3.562410    3.590581    3.644221    1.000000    1.000000    1.000000    3.689376    3.707349    3.666060
131    131    1527261095419747702    3.563075    3.593570    3.652407    1.000000    1.000000    1.000000    3.688969    3.710911    3.634262
132    132    1527261095694064924    3.563681    3.596419    3.645415    1.000000    1.000000    1.000000    3.715676    3.787753    7.322544
133    133    1527261095967814898    3.564331    3.599505    3.652968    1.000000    1.000000    1.000000    3.715272    3.792105    3.660187
134    134    1527261096241766247    3.564952    3.602459    3.650283    1.000000    1.000000    1.000000    3.714773    3.796171    3.646253
135    135    1527261096516031637    3.565536    3.605355    3.646104    1.000000    1.000000    1.000000    3.714212    3.799956    3.636795
136    136    1527261096790681942    3.566075    3.608265    3.640994    1.000000    1.000000    1.000000    3.713613    3.803699    3.630478
137    137    1527261097063691668    3.566758    3.611481    3.662873    1.000000    1.000000    1.000000    3.713122    3.807558    3.643940
138    138    1527261097337802391    3.567331    3.614419    3.648161    1.000000    1.000000    1.000000    3.712549    3.810906    3.631715
139    139    1527261097611661740    3.567919    3.617509    3.651509    1.000000    1.000000    1.000000    3.712113    3.815170    3.649998
140    140    1527261097885754505    3.568477    3.620524    3.648400    1.000000    1.000000    1.000000    3.711770    3.819313    3.662691
141    141    1527261098159902394    3.569023    3.623468    3.647666    1.000000    1.000000    1.000000    3.711385    3.751123    3.655910
142    142    1527261098434158617    3.569551    3.626316    3.646225    1.000000    1.000000    1.000000    3.710980    3.754776    3.652191
143    143    1527261098708804131    3.570038    3.629184    3.641057    1.000000    1.000000    1.000000    3.710417    3.758120    3.628299
144    144    1527261098981976523    3.570648    3.632600    3.660692    1.000000    1.000000    1.000000    3.709988    3.762284    3.646719
145    145    1527261099256519620    3.571130    3.635606    3.642415    1.000000    1.000000    1.000000    3.709474    3.766417    3.633364
146    146    1527261099530639177    3.571642    3.638673    3.648043    1.000000    1.000000    1.000000    3.709086    3.770392    3.651345
147    147    1527261099804709233    3.572152    3.641693    3.648702    1.000000    1.000000    1.000000    3.708663    3.774393    3.645123
148    148    1527261100079222039    3.572617    3.644271    3.642817    1.000000    1.000000    1.000000    3.708333    3.778125    3.658514
149    149    1527261100353316179    3.573112    3.647254    3.648382    1.000000    1.000000    1.000000    3.707982    3.782407    3.654555
150    150    1527261100627326652    3.573607    3.647655    3.649496    1.000000    1.000000    1.000000    3.707738    3.783976    3.670309
151    151    1527261100901490000    3.574083    3.647652    3.647461    1.000000    1.000000    1.000000    3.707335    3.784775    3.645192
152    152    1527261101175232683    3.574588    3.647685    3.653066    1.000000    1.000000    1.000000    3.706888    3.785066    3.637456
153    153    1527261101449630863    3.575032    3.647543    3.644339    1.000000    1.000000    1.000000    3.706445    3.785149    3.637349
154    154    1527261101724039169    3.575470    3.647386    3.644205    1.000000    1.000000    1.000000    3.705917    3.784862    3.623028
155    155    1527261101997998684    3.575939    3.647534    3.650174    1.000000    1.000000    1.000000    3.705600    3.785271    3.655434
156    156    1527261102271472618    3.576442    3.647882    3.656656    1.000000    1.000000    1.000000    3.705372    3.713584    3.669081
157    157    1527261102545689882    3.576879    3.647703    3.646743    1.000000    1.000000    1.000000    3.705034    3.713821    3.650820
158    158    1527261102820287271    3.577279    3.647731    3.641695    1.000000    1.000000    1.000000    3.727173    3.787289    7.288620
159    159    1527261103094356744    3.577717    3.647779    3.648710    1.000000    1.000000    1.000000    3.726681    3.787766    3.646845
160    160    1527261103368353426    3.578155    3.648004    3.649679    1.000000    1.000000    1.000000    3.726236    3.788459    3.653555
161    161    1527261103642840023    3.578549    3.647841    3.643165    1.000000    1.000000    1.000000    3.725636    3.788170    3.627427
162    162    1527261103916910705    3.578971    3.648075    3.648694    1.000000    1.000000    1.000000    3.725040    3.788393    3.626594
163    163    1527261104191531885    3.579345    3.647882    3.641380    1.000000    1.000000    1.000000    3.724552    3.788504    3.643517
164    164    1527261104465327526    3.579779    3.647939    3.652359    1.000000    1.000000    1.000000    3.724042    3.788165    3.638743
165    165    1527261104739085166    3.580211    3.648059    3.652866    1.000000    1.000000    1.000000    3.723634    3.788198    3.654956
166    166    1527261105012621724    3.580654    3.648125    3.655818    1.000000    1.000000    1.000000    3.723311    3.788789    3.668460
167    167    1527261105286324449    3.581080    3.648221    3.653599    1.000000    1.000000    1.000000    3.722898    3.789001    3.652580
168    168    1527261105559858840    3.581513    3.648193    3.655847    1.000000    1.000000    1.000000    3.722514    3.789547    3.656601
169    169    1527261105834124188    3.581886    3.648197    3.646104    1.000000    1.000000    1.000000    3.721905    3.789592    3.617172
170    170    1527261106108646202    3.582236    3.648042    3.642695    1.000000    1.000000    1.000000    3.721304    3.789021    3.617389
171    171    1527261106382689217    3.582618    3.648260    3.649062    1.000000    1.000000    1.000000    3.720813    3.789252    3.635407
172    172    1527261106657028939    3.582973    3.648241    3.645116    1.000000    1.000000    1.000000    3.720542    3.790010    3.672946
173    173    1527261106931339120    3.583326    3.647942    3.645508    1.000000    1.000000    1.000000    3.720004    3.789925    3.625443
174    174    1527261107205047386    3.583719    3.648039    3.653525    1.000000    1.000000    1.000000    3.719542    3.790414    3.637599
175    175    1527261107478821735    3.584104    3.647989    3.652643    1.000000    1.000000    1.000000    3.719219    3.791170    3.661537
176    176    1527261107752493501    3.584491    3.648009    3.654012    1.000000    1.000000    1.000000    3.718831    3.791469    3.649145
177    177    1527261108026313309    3.584864    3.648561    3.652037    1.000000    1.000000    1.000000    3.718511    3.792665    3.660835
178    178    1527261108300639448    3.585196    3.648846    3.645296    1.000000    1.000000    1.000000    3.718075    3.793047    3.639201
179    179    1527261108574672338    3.585545    3.648803    3.649197    1.000000    1.000000    1.000000    3.717783    3.792980    3.664626
180    180    1527261108848191646    3.585927    3.649039    3.656049    1.000000    1.000000    1.000000    3.717536    3.793109    3.672117
181    181    1527261109122455494    3.586252    3.648914    3.646124    1.000000    1.000000    1.000000    3.717163    3.793389    3.648538
182    182    1527261109396953133    3.586558    3.648866    3.643019    1.000000    1.000000    1.000000    3.716879    3.720156    3.664403
183    183    1527261109670922273    3.586897    3.648808    3.650046    1.000000    1.000000    1.000000    3.716527    3.719969    3.650915
184    184    1527261109944974121    3.587227    3.648781    3.648945    1.000000    1.000000    1.000000    3.716124    3.719859    3.640775
185    185    1527261110219349677    3.587530    3.648751    3.644640    1.000000    1.000000    1.000000    3.735062    3.793097    7.294571
186    186    1527261110493130776    3.587872    3.648983    3.652553    1.000000    1.000000    1.000000    3.734639    3.793587    3.654522
187    187    1527261110767258374    3.588186    3.648685    3.647936    1.000000    1.000000    1.000000    3.734257    3.793928    3.661587
188    188    1527261111041803680    3.588469    3.648569    3.642386    1.000000    1.000000    1.000000    3.733876    3.794514    3.661210
