Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
100    100    1527260049356024207    3.218962    3.187071    3.151099    1.000000    1.000000    1.000000    5.088279    5.270856    4.369991
101    101    1527260049672347532    3.218387    3.186545    3.161322    1.000000    1.000000    1.000000    5.081223    5.183862    4.381324
102    102    1527260049988861689    3.217804    3.185951    3.159416    1.000000    1.000000    1.000000    5.074463    5.184242    4.397573
103    103    1527260050304995514    3.217270    3.185366    3.163217    1.000000    1.000000    1.000000    5.068201    5.186529    4.434132
104    104    1527260050621650963    3.216695    3.184695    3.158007    1.000000    1.000000    1.000000    5.104762    5.277464    8.837012
105    105    1527260050938329412    3.216129    3.184130    3.157777    1.000000    1.000000    1.000000    5.097831    5.278943    4.383491
106    106    1527260051254751445    3.215598    3.183572    3.160336    1.000000    1.000000    1.000000    5.091177    5.279871    4.398091
107    107    1527260051571179186    3.215077    3.183032    3.160279    1.000000    1.000000    1.000000    5.084605    5.194314    4.393417
108    108    1527260051887818468    3.214546    3.182454    3.158168    1.000000    1.000000    1.000000    5.077989    5.194469    4.376134
109    109    1527260052204423751    3.214028    3.181819    3.158507    1.000000    1.000000    1.000000    5.112778    5.283984    8.838725
110    110    1527260052521191533    3.213504    3.181181    3.156887    1.000000    1.000000    1.000000    5.106532    5.284471    4.431663
111    111    1527260052837298900    3.213050    3.180684    3.163482    1.000000    1.000000    1.000000    5.100724    5.286198    4.466046
112    112    1527260053153534266    3.212593    3.180155    3.162202    1.000000    1.000000    1.000000    5.094483    5.199742    4.406563
113    113    1527260053469800300    3.212141    3.179555    3.161895    1.000000    1.000000    1.000000    5.088305    5.200118    4.401165
114    114    1527260053786228124    3.211683    3.179034    3.160278    1.000000    1.000000    1.000000    5.121269    5.289359    8.818491
115    115    1527260054102740865    3.211225    3.178442    3.159430    1.000000    1.000000    1.000000    5.115149    5.289715    4.422852
116    116    1527260054419104523    3.210788    3.177908    3.160919    1.000000    1.000000    1.000000    5.109110    5.289907    4.419559
117    117    1527260054735573722    3.210350    3.177325    3.159865    1.000000    1.000000    1.000000    5.103520    5.202624    4.459894
118    118    1527260055051985130    3.209924    3.176781    3.160442    1.000000    1.000000    1.000000    5.098085    5.204823    4.466704
119    119    1527260055368603496    3.209487    3.176129    3.158376    1.000000    1.000000    1.000000    5.129067    5.292571    8.756684
120    120    1527260055685194612    3.209060    3.175562    3.158648    1.000000    1.000000    1.000000    5.123126    5.292941    4.421504
121    121    1527260056001602436    3.208656    3.174998    3.160478    1.000000    1.000000    1.000000    5.117217    5.293611    4.413083
122    122    1527260056318073844    3.208253    3.174380    3.159843    1.000000    1.000000    1.000000    5.111458    5.294141    4.419581
123    123    1527260056634337960    3.207874    3.173853    3.161914    1.000000    1.000000    1.000000    5.105831    5.207494    4.423632
124    124    1527260056950745035    3.207489    3.173249    3.160486    1.000000    1.000000    1.000000    5.136682    5.297548    8.905755
125    125    1527260057266948985    3.207127    3.172673    3.162516    1.000000    1.000000    1.000000    5.130566    5.296041    4.376754
126    126    1527260057583518601    3.206741    3.172064    3.158863    1.000000    1.000000    1.000000    5.124601    5.295906    4.384281
127    127    1527260057899520885    3.206407    3.171593    3.164534    1.000000    1.000000    1.000000    5.119193    5.297124    4.441449
128    128    1527260058215618710    3.206071    3.171155    3.163578    1.000000    1.000000    1.000000    5.113882    5.210324    4.443207
129    129    1527260058532058451    3.205713    3.170577    3.160159    1.000000    1.000000    1.000000    5.108683    5.211705    4.447573
130    130    1527260058848519275    3.205358    3.170001    3.159949    1.000000    1.000000    1.000000    5.138156    5.301937    8.914987
131    131    1527260059165435890    3.204974    3.169383    3.155404    1.000000    1.000000    1.000000    5.133152    5.303114    4.487808
132    132    1527260059481908923    3.204630    3.168883    3.159827    1.000000    1.000000    1.000000    5.128427    5.304554    4.513563
133    133    1527260059798356664    3.204292    3.168425    3.160079    1.000000    1.000000    1.000000    5.123025    5.217525    4.414501
134    134    1527260060115073321    3.203940    3.167838    3.157396    1.000000    1.000000    1.000000    5.118039    5.218909    4.459633
135    135    1527260060431470896    3.203617    3.167277    3.160580    1.000000    1.000000    1.000000    5.145960    5.308691    8.864398
136    136    1527260060747820512    3.203302    3.166769    3.161060    1.000000    1.000000    1.000000    5.140891    5.309967    4.460587
137    137    1527260061064202962    3.202989    3.166170    3.160732    1.000000    1.000000    1.000000    5.135934    5.310796    4.465861
138    138    1527260061380674161    3.202675    3.165788    3.159845    1.000000    1.000000    1.000000    5.131228    5.311908    4.490497
139    139    1527260061697277110    3.202355    3.165168    3.158530    1.000000    1.000000    1.000000    5.126418    5.223740    4.467157
140    140    1527260062013892767    3.202039    3.164537    3.158404    1.000000    1.000000    1.000000    5.153662    5.313935    8.915387
141    141    1527260062330295175    3.201743    3.164021    3.160532    1.000000    1.000000    1.000000    5.148675    5.314525    4.454650
142    142    1527260062646695041    3.201451    3.163533    3.160558    1.000000    1.000000    1.000000    5.143789    5.315518    4.458877
143    143    1527260062962831033    3.201182    3.162990    3.163196    1.000000    1.000000    1.000000    5.139173    5.316234    4.487044
144    144    1527260063279026692    3.200913    3.162608    3.162599    1.000000    1.000000    1.000000    5.134583    5.229498    4.481491
145    145    1527260063595687932    3.200615    3.162114    3.157949    1.000000    1.000000    1.000000    5.161425    5.321089    9.001338
146    146    1527260063912199173    3.200331    3.161520    3.159445    1.000000    1.000000    1.000000    5.156568    5.321160    4.456518
147    147    1527260064228503790    3.200066    3.160995    3.161509    1.000000    1.000000    1.000000    5.151813    5.320730    4.461361
148    148    1527260064545012781    3.199790    3.160515    3.159468    1.000000    1.000000    1.000000    5.147134    5.321666    4.463387
149    149    1527260064861258439    3.199535    3.160040    3.162099    1.000000    1.000000    1.000000    5.142513    5.234565    4.462120
150    150    1527260065177374847    3.199293    3.160286    3.163392    1.000000    1.000000    1.000000    5.168265    5.326892    8.987493
151    151    1527260065494060588    3.199016    3.160214    3.157705    1.000000    1.000000    1.000000    5.163749    5.329059    4.490663
152    152    1527260065810061288    3.198788    3.160316    3.164550    1.000000    1.000000    1.000000    5.159521    5.331610    4.523759
153    153    1527260066126640613    3.198525    3.160228    3.158766    1.000000    1.000000    1.000000    5.155180    5.332889    4.499359
154    154    1527260066442708480    3.198299    3.160345    3.163877    1.000000    1.000000    1.000000    5.150492    5.244844    4.436345
155    155    1527260066759609761    3.198022    3.160300    3.155557    1.000000    1.000000    1.000000    5.175228    5.336461    8.958064
156    156    1527260067075718420    3.197799    3.160363    3.163469    1.000000    1.000000    1.000000    5.170781    5.338206    4.484493
157    157    1527260067391926495    3.197573    3.160407    3.162475    1.000000    1.000000    1.000000    5.166462    5.340269    4.495970
158    158    1527260067707968320    3.197361    3.160526    3.164138    1.000000    1.000000    1.000000    5.162334    5.343115    4.516788
159    159    1527260068024304353    3.197132    3.160580    3.161195    1.000000    1.000000    1.000000    5.158384    5.257049    4.537573
160    160    1527260068340783303    3.196897    3.160638    3.159768    1.000000    1.000000    1.000000    5.182349    5.347895    8.971917
161    161    1527260068657481918    3.196652    3.160520    3.157576    1.000000    1.000000    1.000000    5.178027    5.348355    4.490676
162    162    1527260068973884576    3.196427    3.160486    3.160530    1.000000    1.000000    1.000000    5.173608    5.349529    4.465784
163    163    1527260069290308192    3.196205    3.160455    3.160320    1.000000    1.000000    1.000000    5.169276    5.350919    4.471152
164    164    1527260069606981391    3.195969    3.160406    3.157830    1.000000    1.000000    1.000000    5.165171    5.264533    4.500024
165    165    1527260069923491340    3.195747    3.160406    3.159458    1.000000    1.000000    1.000000    5.188990    5.357589    9.074204
166    166    1527260070239974415    3.195529    3.160382    3.159727    1.000000    1.000000    1.000000    5.184719    5.358867    4.483845
167    167    1527260070556521489    3.195309    3.160367    3.159088    1.000000    1.000000    1.000000    5.180545    5.359493    4.491389
168    168    1527260070872918147    3.195102    3.160370    3.160590    1.000000    1.000000    1.000000    5.176408    5.359938    4.488922
169    169    1527260071189348179    3.194894    3.160408    3.160256    1.000000    1.000000    1.000000    5.172306    5.274494    4.486717
170    170    1527260071506037378    3.194674    3.160388    3.157670    1.000000    1.000000    1.000000    5.194766    5.365505    8.968370
171    171    1527260071822461578    3.194472    3.160385    3.160315    1.000000    1.000000    1.000000    5.190863    5.367856    4.530706
172    172    1527260072138794402    3.194278    3.160412    3.161227    1.000000    1.000000    1.000000    5.187101    5.370407    4.546752
173    173    1527260072455086727    3.194089    3.160407    3.161632    1.000000    1.000000    1.000000    5.183082    5.371830    4.494886
174    174    1527260072771034220    3.193921    3.160498    3.165083    1.000000    1.000000    1.000000    5.179222    5.284015    4.513760
175    175    1527260073087862543    3.193705    3.160374    3.156283    1.000000    1.000000    1.000000    5.200848    5.375376    8.940672
176    176    1527260073404129535    3.193523    3.160434    3.161885    1.000000    1.000000    1.000000    5.197056    5.378434    4.536306
177    177    1527260073720563817    3.193334    3.160348    3.160214    1.000000    1.000000    1.000000    5.193299    5.380286    4.535324
178    178    1527260074037163641    3.193138    3.160248    3.158561    1.000000    1.000000    1.000000    5.189623    5.382239    4.542324
179    179    1527260074353476591    3.192960    3.160273    3.161426    1.000000    1.000000    1.000000    5.186210    5.384922    4.581377
180    180    1527260074670046915    3.192769    3.160251    3.158856    1.000000    1.000000    1.000000    5.207449    5.386443    8.989759
181    181    1527260074986533823    3.192586    3.160337    3.159688    1.000000    1.000000    1.000000    5.203738    5.387491    4.539000
182    182    1527260075303388813    3.192384    3.160261    3.156018    1.000000    1.000000    1.000000    5.199812    5.387066    4.493409
183    183    1527260075619669138    3.192216    3.160294    3.161752    1.000000    1.000000    1.000000    5.196052    5.389078    4.514622
184    184    1527260075935923921    3.192051    3.160386    3.162008    1.000000    1.000000    1.000000    5.192390    5.390409    4.524849
185    185    1527260076252400829    3.191876    3.160371    3.159788    1.000000    1.000000    1.000000    5.213530    5.394838    9.084931
186    186    1527260076569101778    3.191690    3.160300    3.157553    1.000000    1.000000    1.000000    5.210077    5.397103    4.574764
187    187    1527260076885744810    3.191510    3.160248    3.158130    1.000000    1.000000    1.000000    5.206337    5.398056    4.514257
188    188    1527260077201992218    3.191352    3.160293    3.162081    1.000000    1.000000    1.000000    5.202676    5.398673    4.520717
189    189    1527260077518757208    3.191169    3.160261    3.156915    1.000000    1.000000    1.000000    5.198917    5.399247    4.496299
190    190    1527260077835616573    3.190983    3.160212    3.155974    1.000000    1.000000    1.000000    5.219202    5.401611    9.030735
191    191    1527260078151945607    3.190827    3.160226    3.161265    1.000000    1.000000    1.000000    5.215655    5.403412    4.544502
192    192    1527260078468555722    3.190657    3.160185    3.158459    1.000000    1.000000    1.000000    5.212314    5.405772    4.577444
193    193    1527260078785034422    3.190497    3.160116    3.159770    1.000000    1.000000    1.000000    5.208906    5.407158    4.557353
194    194    1527260079101760745    3.190325    3.160010    3.157300    1.000000    1.000000    1.000000    5.205203    5.407385    4.494353
195    195    1527260079418365986    3.190161    3.160021    3.158507    1.000000    1.000000    1.000000    5.225068    5.408550    9.060210
196    196    1527260079734960435    3.189999    3.160005    3.158615    1.000000    1.000000    1.000000    5.221482    5.409924    4.525449
197    197    1527260080051358010    3.189849    3.159986    3.160580    1.000000    1.000000    1.000000    5.218033    5.411590    4.544968
198    198    1527260080367703084    3.189703    3.160019    3.161105    1.000000    1.000000    1.000000    5.214707    5.413571    4.561987
199    199    1527260080684127534    3.189555    3.159983    3.160312    1.000000    1.000000    1.000000    5.211536    5.416045    4.586365
200    200    1527260081002229479    3.189323    3.159587    3.143646    1.000000    1.000000    1.000000    5.231057    5.418332    9.078973
201    201    1527260081319639343    3.189129    3.159442    3.150501    1.000000    1.000000    1.000000    5.227592    5.419273    4.539664
202    202    1527260081636860540    3.188945    3.159198    3.152374    1.000000    1.000000    1.000000    5.224106    5.419289    4.528017
203    203    1527260081954079904    3.188764    3.159070    3.152393    1.000000    1.000000    1.000000    5.220656    5.419835    4.528459
204    204    1527260082271475601    3.188576    3.158806    3.150641    1.000000    1.000000    1.000000    5.217249    5.421639    4.530402
205    205    1527260082589557463    3.188356    3.158570    3.143845    1.000000    1.000000    1.000000    5.236200    5.424086    9.066732
206    206    1527260082906772327    3.188180    3.158349    3.152437    1.000000    1.000000    1.000000    5.232984    5.425892    4.577932
207    207    1527260083223941358    3.188009    3.158158    3.152893    1.000000    1.000000    1.000000    5.229631    5.426783    4.543262
208    208    1527260083541390139    3.187825    3.157877    3.150114    1.000000    1.000000    1.000000    5.226143    5.426551    4.509247
209    209    1527260083859077876    3.187632    3.157608    3.147745    1.000000    1.000000    1.000000    5.222855    5.426609    4.544217
210    210    1527260084176114574    3.187472    3.157496    3.154209    1.000000    1.000000    1.000000    5.241384    5.429132    9.091686
211    211    1527260084493703646    3.187287    3.157319    3.148723    1.000000    1.000000    1.000000    5.238173    5.430651    4.569058
212    212    1527260084810280428    3.187152    3.157284    3.158791    1.000000    1.000000    1.000000    5.235134    5.433256    4.596626
213    213    1527260085127582209    3.186984    3.157109    3.151574    1.000000    1.000000    1.000000    5.232177    5.435968    4.609205
214    214    1527260085444567782    3.186832    3.157047    3.154718    1.000000    1.000000    1.000000    5.229019    5.437151    4.560028
215    215    1527260085761437439    3.186687    3.156975    3.155872    1.000000    1.000000    1.000000    5.247098    5.437676    9.096346
216    216    1527260086078524595    3.186534    3.156855    3.153707    1.000000    1.000000    1.000000    5.243842    5.438923    4.547926
217    217    1527260086395574751    3.186383    3.156754    3.154075    1.000000    1.000000    1.000000    5.240727    5.440500    4.571687
218    218    1527260086712956323    3.186219    3.156558    3.150782    1.000000    1.000000    1.000000    5.237525    5.441609    4.547205
219    219    1527260087030747353    3.186037    3.156287    3.146722    1.000000    1.000000    1.000000    5.234490    5.443361    4.578156
220    220    1527260087348269133    3.185870    3.156121    3.149390    1.000000    1.000000    1.000000    5.252238    5.446421    9.111822
221    221    1527260087665859662    3.185700    3.155889    3.148709    1.000000    1.000000    1.000000    5.248934    5.446284    4.527219
222    222    1527260087983590359    3.185526    3.155610    3.147319    1.000000    1.000000    1.000000    5.245742    5.446182    4.545623
223    223    1527260088300451390    3.185393    3.155497    3.155958    1.000000    1.000000    1.000000    5.242694    5.447636    4.569300
224    224    1527260088618127003    3.185224    3.155153    3.147865    1.000000    1.000000    1.000000    5.239644    5.448551    4.564483
225    225    1527260088935748700    3.185059    3.154995    3.148400    1.000000    1.000000    1.000000    5.257181    5.453069    9.157359
226    226    1527260089253090730    3.184908    3.154781    3.151174    1.000000    1.000000    1.000000    5.254264    5.454323    4.602050
227    227    1527260089571089384    3.184730    3.154470    3.144667    1.000000    1.000000    1.000000    5.251245    5.455020    4.574585
228    228    1527260089888286665    3.184588    3.154351    3.152612    1.000000    1.000000    1.000000    5.248240    5.455541    4.570080
229    229    1527260090205769820    3.184435    3.154118    3.149773    1.000000    1.000000    1.000000    5.245282    5.455356    4.575367
230    230    1527260090523888224    3.184255    3.153810    3.143484    1.000000    1.000000    1.000000    5.262181    5.457890    9.098829
231    231    1527260090841170588    3.184114    3.153651    3.151767    1.000000    1.000000    1.000000    5.259186    5.458553    4.574430
232    232    1527260091158373077    3.183977    3.153583    3.152560    1.000000    1.000000    1.000000    5.256321    5.460629    4.598255
233    233    1527260091475870190    3.183829    3.153340    3.149635    1.000000    1.000000    1.000000    5.253560    5.462610    4.617182
234    234    1527260091793940552    3.183657    3.152980    3.143958    1.000000    1.000000    1.000000    5.250651    5.463579    4.578518
235    235    1527260092111104541    3.183525    3.152843    3.152943    1.000000    1.000000    1.000000    5.267414    5.465414    9.168818
236    236    1527260092428399739    3.183390    3.152725    3.151639    1.000000    1.000000    1.000000    5.264446    5.465305    4.570996
237    237    1527260092745667561    3.183256    3.152600    3.151911    1.000000    1.000000    1.000000    5.261495    5.466361    4.568938
238    238    1527260093063676840    3.183092    3.152250    3.144562    1.000000    1.000000    1.000000    5.258623    5.467513    4.583382
239    239    1527260093381063162    3.182956    3.152127    3.150734    1.000000    1.000000    1.000000    5.255947    5.470008    4.622924
240    240    1527260093698765692    3.182808    3.151959    3.147598    1.000000    1.000000    1.000000    5.272642    5.474287    9.234934
